nr,date,year,title,duration_min,notes,link
28,2018-09-05,2018,Wo die Nazis marschieren,30,"Haben Österreich und die Schweiz eigentlich auch ein Problem mit gewaltbereiten Rechtsradikalen? Und: Was Ausländer in unseren Ländern mögen und was nicht.

Der Erfolg rechtspopulistischer Parteien führt dazu, dass weniger gewaltbereite Rechtsradikale auf die Straßen gehen: Diese steile These vertreten österreichische Politikwissenschaftler, um zu erklären, warum es dort weniger Naziaufmärsche gibt als in Deutschland. Gilt das auch für die Schweiz? Und was würde das für Deutschland heißen?

Außerdem bei ""Servus. Grüezi. Hallo."": Wien ist die zweitunfreundlichste Stadt der Welt, sagen Expats. Warum eigentlich? Und wie verändern Ausländer, die zum Arbeiten kommen, die Schweiz und Deutschland?",https://www.zeit.de/gesellschaft/2018-09/politikpodcast-servus-grueezi-hallo-5-september-2018
29,2018-09-12,2018,China kommt in die Alpen,33,"Wie halten es unsere Länder eigentlich mit China, der neuen Supermacht? Und: Die Deutschen gelten als penible Mülltrenner, dabei sind die Eidgenossen noch pedantischer.

In Europa grassiert ein Chinahype, alle wollen Geschäfte mit Peking machen – doch keiner weiß so recht, wie. Die Österreicher sind kurzerhand mit der “größten Delegation aller Zeiten” dorthin aufgebrochen, wollen die Seidenstraße bis nach Wien führen und haben dabei wenig Sicherheitsbedenken. In der Schweiz sind chinesische Investoren indes schon sehr aktiv, 60 Milliarden Euro haben seit 2005 im Land investiert. Alles gut demnach?

Das zweite Thema diese Woche bei Servus. Grüezi. Hallo.: Der Müll. In der Schweiz drohen horrende Strafen – und zwar nicht nur für das falsche Trennen von Abfall, sondern auch, wer etwa sein Altpapier nicht fachgerecht bündelt. In Wien sind dafür Mitarbeiter der Müllabfuhr Respektspersonen - und das hat Auswirkungen bis auf den innerstädtischen Verkehr.",https://www.zeit.de/gesellschaft/2018-09/politikpodcast-servusgrueezi-hallo-12-september-2018
30,2018-09-19,2018,Geldkoffer und Kanonenboote,33,"Mehrere Untersuchungsausschüsse beschäftigen sich in Österreich mit Korruption, in der Schweiz sieht man das etwas lockerer. Und: die Seestreitkräfte der Alpenländer.

Ein früherer Finanzminister vor Gericht und zwei parlamentarische Untersuchungssauschüsse: einer zum dubiosen Kauf von Eurofighter-Jets und einer über eine Razzia beim Verfassungsschutz. In Österreich werden mal wieder Ungereimtheiten der politischen Klasse unter die Lupe genommen – von möglicher Korruption bis zu Umfärbeaktionen im Sicherheitsapparat. In der Schweiz hingegen kann man mit Geld in der Politik so ziemlich alles tun, was man will.

Zweites Thema bei “Servus. Grüezi. Hallo.“: Das Verhältnis der Binnenländer Schweiz und Österreich zum Meer. Sie sind ja weit weg, aber darauf angewiesen. Wie lösen sie das? Außerdem Details zu den Seestreitkräften auf dem Bodensee. Ja, im Ernst, die gibt es.",https://www.zeit.de/gesellschaft/2018-09/politikpodcast-servus-grueezi-hallo-19-september-2018
31,2018-09-26,2018,Livefolge: Schöner schimpfen mit Thomas Bernhard,52,"Wie unterscheidet sich die Literatur der Alpenländer? Und: Schweizer Journalisten als Abgeordnete, boomende FPÖ-Medien in Österreich: Wie parteiisch ist der Journalismus?

Eine besondere Folge “Servus. Grüezi. Hallo.“: Beim Tag der ZEIT haben wir erstmals vor Publikum aufgenommen und hatten gleich noch einen Gast dabei.

Die Themen: der Boom von parteiischen Medien in Österreich. Portale wie “unzensuriert.at” machen die Stimmung, die die rechtspopulistische FPÖ dann in Stimmen umwandelt. Die Partei dankt es mit Anzeigen. So ist es in Österreich längst normal, dass viele Medien klar einzelnen Parteien zugeordnet werden können. In der Schweiz war es lange sogar erwünscht, dass Journalisten auch Politik machen. Und in Deutschland? Wir diskutieren, wie parteiisch Journalismus sein sollte.

Unser zweites Thema: Transalpine Literatur. Mit der Autorin Verena Roßbacher, geboren in Österreich, aufgewachsen in der Schweiz und nun wohnhaft in Berlin, sprechen wir darüber, was eigentlich österreichische von deutscher oder Schweizer Literatur unterscheidet. Ist Thomas Bernhard typisch für Österreich? Oder ist das Quatsch und eine Unterscheidung innerhalb der deutschsprachigen Literatur unmöglich?",https://www.zeit.de/gesellschaft/2018-09/politikpodcast-servus-grueezi-hallo-26-september-2018
32,2018-10-03,2018,Ehe nur noch für Fruchtbare?,32,"Ein Jahr Ehe für alle in Deutschland: die Schweiz ist noch nicht so weit und in Österreich wehrt sich die FPÖ mit skurrilen Mitteln. Und: Der Alpenwein wird besser.

Mehr als 10.000 homosexuelle Paare haben in Deutschland geheiratet, seit vor genau einem Jahr die Ehe für alle eingeführt wurde. Vor 25 Jahren sprachen einige Konservative noch von “Teufelsanbetung”, jetzt ist selbst die Mehrheit der Unionswähler dafür. In Österreich hingegen will die FPÖ die Ehe für alle noch verhindern, indem sie diese nur für die Paare reservieren will, die tatsächlich Kinder bekommen werden. Aber wie soll man das feststellen? Und wie weit ist eigentlich die konservative Schweiz in der Sache?

Zweites Thema bei “Servus. Grüezi. Hallo.“: Früher wurde der Wein in der Schweiz eher zum Fensterputzen benutzt, jetzt ist er endlich trinkbar. Weil es wärmer ist, werden die Weinernten in den Alpen besser. Aber ist das Gehabe und die Auskennerei mit Wein eigentlich noch angemessen?",https://www.zeit.de/gesellschaft/2018-10/politikpodcast-servus-grueezi-hallo-3-oktober-2018
33,2018-10-10,2018,Bayern sind doch nur vulgäre Ösis,31,"Wie stehen Schweizer und Österreicher zu Bayern und warum stürzt die CSU dort ab? Außerdem diskutieren wir, wie gut unsere Zoos sind.

An diesem Sonntag wählen die Bayern, es könnte dramatisch werden: Die CSU, die seit 60 Jahren regiert, könnte laut Umfragen auf unter 35 Prozent rutschen, die Grünen zweitstärkste Partei werden. Was ist da los? Und kann es sein, dass Bayern Österreich eigentlich näher ist als dem Rest Deutschlands?

Zweites Thema bei “Servus. Grüezi. Hallo.“: Die drei besten europäischen Zoos befinden sich in Wien, Berlin und Zürich. Das sagt zumindest ein neues Ranking. Also: Was ist so toll am Wiener Tierpark? Und ist nicht jeder Zoo eigentlich Tierquälerei?",https://www.zeit.de/gesellschaft/2018-10/politikpodcast-servus-grueezi-hallo-10-oktober-2018
34,2018-10-17,2018,Südtirol und die Bumser,32,"Eigentlich gehört Südtirol zu Italien, aber so ganz kann Österreich doch nicht von der Region lassen. Außerdem: wie mehrsprachig ist die Schweiz wirklich?

Die österreichische Regierung hat den Südtirolern angeboten, neben dem italienischen auch einen österreichischen Pass zu bekommen. Problem nur: die italienische Regierung wusste davon nichts. Und: bald sind in Südtirol auch noch Wahlen. Wir reden über die alte österreichische Sehnsucht sich auch den Süden Tirols wieder einzuverleiben – und über die Gewalt und die Spaltungen, die das in der Vergangenheit mit sich brachte.

Außerdem bei “Servus. Grüezi. Hallo.“: Wie ist es eigentlich in einem Land mit mehreren Sprachen zu leben, spricht man dann einfach alle gut? Wir reden über die Dominanz des Deutschen in der viersprachigen Schweiz und darüber, ob Bundesräte eigentlich französisch können müssen.",https://www.zeit.de/gesellschaft/2018-10/politikpodcast-servus-grueezi-hallo-17-oktober
35,2018-10-24,2018,Die deutsche Studischwemme,35,"Deutsche belegen jeden zehnten Studienplatz in Österreich und der Schweiz, ist das schlimm? Außerdem: Wie stark die soziale Auswahl an unseren Hochschulen ist.

Zum Semesterstart eine Unisendung: 27.000 in Österreich, 14.500 in der Schweiz – Tausende deutscher Studenten haben sich für Hochschulen in den Nachbarländern entschieden. Weil sie dort keinen Numerus Clausus erfüllen müssen und das Studium auch nur wenig kostet. Stört das die Einheimischen? Ist es gerecht, wenn österreichische Steuerzahler Deutschen die Ausbildung finanzieren?

Zweites Thema bei ""Servus. Grüezi. Hallo."": Warum es Arbeiterkinder und Nichtakademiker generell so selten an die Universitäten in den Alpenländern schaffen. Liegt es daran, dass sie sich ein Studium nicht leisten können? Oder werden sie von Lehrern und Eltern abgeschreckt?",https://www.zeit.de/gesellschaft/2018-10/politikpodcast-servus-grueezi-hallo-24-oktober-2018
36,2018-10-31,2018,"Hilfe, wir haben die Parteien geschrumpft!",32,"Merkel geht und wir fragen: Warum sind konservative und sozialdemokratische Parteien in unseren Ländern in der Krise? Und: der Schweizer Sonderweg in der Sterbehilfe.

Die Ära Merkel endet und ihre Partei, die CDU, muss sich überlegen, wie sie weitermacht. Die konservativen Parteien in Österreich und der Schweiz haben den großen Umbruch schon hinter sich. Sie sind ebenso geschrumpft wie die Sozialdemokraten in unseren Ländern, deren Krise zumindest in Deutschland schon existenzbedrohend ist. Stellen sie sich einfach nur blöd an oder sind ihre Probleme eher Symptome für etwas anderes?

Außerdem: In der sonst so konservativen und religiösen Schweiz ist die passive Sterbehilfe erlaubt. Wie kam es eigentlich dazu? Und wie makaber finden die Schweizer es, dass Menschen zum Sterben in ihr Land kommen?",https://www.zeit.de/gesellschaft/2018-10/politikpodcast-servus-grueezi-hallo-31-oktober-2018
37,2018-11-07,2018,Was habt ihr bloß mit dem Migrationspakt?,33,"Österreich steigt aus einem unverbindlichen UN-Pakt aus und nun streiten auch die Schweiz und Deutschland. Warum? Und: Politiker, die in die Wirtschaft wechseln.

Der Globale Pakt für eine sichere, geordnete und reguläre Migration der Vereinten Nationen soll im Dezember verabschiedet werden. Er ist nicht bindend und wurde von allen Ländern mitverhandelt – trotzdem steigt nun ein Staat nach dem anderen aus, darunter auch Österreich. Kann es sein, dass es der Regierung mit ihrer Kritik an dem Pakt gar nicht um die Sache geht? Aber worum dann? Auch in der Schweiz und Österreich haben sich Kampagnen an dem Thema entzündet.

Zweites Thema bei “Servus. Grüezi. Hallo.“: Ist es problematisch, wenn Politiker ihre Kontakte in der Privatwirtschaft nutzen? Die CDU-Hoffnung Friedrich Merz saß in etlichen Aufsichtsräten, darunter beim Vermögensverwalter Blackrock. In der Schweiz sieht man das locker, in Österreich hat zuletzt eine Grüne spektakulär die Seite gewechselt.",https://www.zeit.de/gesellschaft/2018-11/politikpodcast-servus-grueezi-hallo-7-november-2018
38,2018-11-14,2018,"Das Jahr, in dem selbst in der Schweiz echt mal was los war",38,"Die Schweizer entscheiden, ob nationales Recht immer vor internationalen Verträgen geht – ist das SVP-Populismus oder nur konsequent? Außerdem: warum 1918 so wichtig war.

Am 25. November stimmen die Schweizer über die Selbstbestimmungsinitiative ab, die besagt, dass grundsätzlich jeder internationale Vertrag neu verhandelt werden muss, der nationalem Recht widerspricht. Was würde eine Zustimmung bedeuten? Wir streiten, ob die Initiative die konsequente Fortführung der Schweizer Politik des Raushaltens ist – oder eher der Versuch der rechtspopulistischen SVP, Grundrechte einzuschränken.

Außerdem bei “Servus. Grüezi. Hallo.“: Das Jahr 1918 und warum es in unseren Ländern wichtig war. Was damals in Deutschland und Österreich passierte, steht meist im Schatten der bald folgenden Nazizeit und des Zweiten Weltkrieges. Wir finden: zu Unrecht! Selbst in der Schweiz war in diesem Jahr zur Abwechslung echt mal was los.",https://www.zeit.de/gesellschaft/2018-11/politikpodcast-servus-grueezi-hallo-15-november-2018
39,2018-11-21,2018,Der Wolf kommt,32,"Ist die Rückkehr des Wolfs ein echtes Problem oder nur Geheule? Außerdem streiten wir über die schwächelnden Gewerkschaften in unseren Ländern.

Der Wolf ist zurück in Deutschland, Österreich und der Schweiz. Schön, oder? Das finden die Schafhirten und Jäger nicht unbedingt. Wir diskutieren, wie Artenvielfalt und Bürgersorgen abzuwägen sind – und was das Geraune um den Wolf mit der Spaltung zwischen Stadt und Land und Ost und West zu tun hat.

Außerdem: In Österreich wurde gerade ein großer Streik abgewendet, weswegen wir auf die Gewerkschaften in unseren Ländern schauen. Die sind in Österreich traditionell stark, haben aber Probleme wegen und mit der EU. Wie können sie auch diejenigen vertreten, die nicht in den klassischen Festanstellungsverhältnissen leben?",https://www.zeit.de/gesellschaft/2018-11/servus-grueezi-hallo-politikpodcast-21-november-2018
40,2018-11-28,2018,"Hauptsache, es brennt",32,"Warum reden wir beim Klimaschutz eigentlich nicht darüber, wie schlimm die Ölheizungen in unseren Häusern sind? Und: Die Schweizer Bundesratswahl ist egal, oder?

600.000 Ölkessel in Österreich, über 5 Millionen in Deutschland, dazu noch viel mehr Gasheizungen: Bei der Debatte über die Bekämpfung des Klimawandels kommen die vielen CO2-Schleudern in unseren Kellern und Wohnungen irgendwie nicht vor. Aber es gibt auch gute Gründe, warum wir noch wenig mit regenerativen Energien heizen.

Außerdem bei “Servus. Grüezi. Hallo.“: Die Schweiz wählt zwei neue Mitglieder für ihren Bundesrat, was so eine Art Regierung ist, aber irgendwie auch nicht. Wir erklären, um was es geht und warum die direktdemokratischen Schweizerinnen und Schweizer offenbar doch nicht alles selbst entscheiden wollen.",https://www.zeit.de/gesellschaft/2018-11/politikpodcast-servus-grueezi-hallo-28-november-2018
41,2018-12-05,2018,5G für jede Milchkanne!,36,"Vor zwei Jahren wählte Österreich einen Grünen zum Präsidenten – geholfen hat es nix, oder? Außerdem: Wie ernst es unsere Länder mit dem neuen Mobilfunk 5G meinen.

Im Dezember 2016 gewann der Grüne Alexander Van der Bellen nach einem skurrilen, ewigen Wahlkampf gegen den Rechtspopulisten Norbert Hofer und wurde Präsident Österreichs. Nach Brexit und Trump-Wahl schienen die Populisten gestoppt und die Grünen auf Erfolgskurs. Und nun? Zwei Jahre später sind die österreichischen Grünen auf Bundesebene quasi verschwunden. Was ist passiert? Und warum haben die Grünen in Deutschland zur gleichen Zeit so ein Hoch?

Außerdem bei ""Servus. Grüezi. Hallo."": 2019 werden die Lizenzen für den neuen Mobilfunkstandard 5G versteigert, und während die Schweiz und Österreich sich mit Angeber-PR und ehrgeizigen Plänen überbieten, findet eine Bundesministerin in Deutschland, das mit dem schnellen mobilen Internet auch auf dem Land sei doch irgendwie etwas übertrieben.",https://www.zeit.de/gesellschaft/2018-12/politikpodcast-servus-grueezi-hallo-5-dezember-2018
42,2018-12-12,2018,Keine EU ist auch keine Lösung,32,"In Deutschland streikt die Bahn und erhöht die Preise, in der Schweiz und Österreich läuft’s besser. warum? Und was kann man aus der Schweiz über den Brexit lernen?

Großbritannien stimmt in diesen Tagen über den Brexit-Plan ab, vielleicht hilft ein Blick auf die Schweiz, um zu verstehen, wie schwer es Länder haben, die eng an die EU gebunden sind, aber doch nicht Mitglied sein wollen. Dort nämlich wird gerade über ein Rahmenabkommen diskutiert, dass die Beziehungen zur EU stabilisieren soll. Aber das Land tut sich schwer damit, obwohl der Nutzen für die Wirtschaft eigentlich eindeutig ist.

Zweites Thema bei “Servus. Grüezi. Hallo.“: Die Bahn in unseren Ländern. In Deutschland hat sie mit Streik, Verspätungen und Schulden zu kämpfen. In der Schweiz als auch in Österreich gibt die Bahn einfach viel mehr Geld aus, damit das Netz gut funktioniert. Kann es sein, dass die Länder einfach davon profitieren, dass sie kleiner sind?

Für Kritik und Anregungen erreichen Sie uns unter alpen@zeit.de.",https://www.zeit.de/gesellschaft/2018-12/politikpodcast-servus-grueezi-hallo-12-dezember-2018
43,2018-12-19,2018,Bücher sind doch das Beste,38,"Ist lesen out? Wir finden nicht und empfehlen, was wir dieses Jahr gelesen und besonders gut fanden.

In der letzten Folge von ""Servus. Grüezi. Hallo."" vor den Feiertagen wollen wir uns einmal nicht streiten, sondern über die Bücher aus unseren drei Ländern sprechen, die uns in diesem Jahr besonders gefesselt haben. Erzählungen über die längst verlorene Orte und die österreichische Provinz der 30er, Kinderbücher über das Spätmittelalter und ein Roman über die Schweizer Jugendkultur der 80er und die Opernhauskrawalle.

Die transalpine Bücherliste:

Schweiz: Pierre Chiquet, Am Bahndamm (Bilger) Valentin Groebner, Geschichtstourismus und die Sehnsucht nach dem Authentischen (S. Fischer) H.U. Steger, Reise nach Tripiti (Diogenes)

Österreich: Hannes Leidinger, Verena Moritz: Umstritten, verspielt, gefeiert. Die Republik Österreich 1918/2018 (Haymon) Peter Rosegger, Ausgewählte Werke (Styria) Daniela Meisel, Wovon Schwalben träumen (Picus) Verena Wolf, Sonja Ortner: Des Kaisers Narr ist in Gefahr: Meine Reise in die Zeit von Kaiser (Tyrolia) Werner Bätzing: Die Alpen. Das Verschwinden einer Kulturlandschaft (WBG Theiss)

Deutschland: Judith Schalansky: Verzeichnis einiger Verluste (Suhrkamp) Max Czollek: Desintegriert Euch! (Hanser)",https://www.zeit.de/gesellschaft/2018-12/politikpodcast-servus-grueezi-hallo-19-dezember-2018
